AUN,School Number,County,District Name,School Name,Subject,Group,Grade,Number Scored,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic
112011103,000000003,ADAMS,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Algebra I,All Students,11,162,29.6,41.4,21.6,7.4
112011103,000000003,ADAMS,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Algebra I,Historically Underperforming,11,69,24.6,29.0,30.4,15.9
112011103,000000003,ADAMS,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Biology,All Students,11,159,23.3,42.1,22.0,12.6
112011103,000000003,ADAMS,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Biology,Historically Underperforming,11,67,9.0,37.3,28.4,25.4
112011103,000000003,ADAMS,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Literature,All Students,11,159,11.3,66.0,15.1,7.5
112011103,000000003,ADAMS,BERMUDIAN SPRINGS SD,BERMUDIAN SPRINGS HS,Literature,Historically Underperforming,11,68,4.4,58.8,20.6,16.2
112011603,000000017,ADAMS,CONEWAGO VALLEY SD,NEW OXFORD SHS,Algebra I,All Students,11,276,35.1,42.4,16.3,6.2
112011603,000000017,ADAMS,CONEWAGO VALLEY SD,NEW OXFORD SHS,Algebra I,Historically Underperforming,11,99,18.2,42.4,23.2,16.2
112011603,000000017,ADAMS,CONEWAGO VALLEY SD,NEW OXFORD SHS,Biology,All Students,11,277,42.2,35.4,13.0,9.4
112011603,000000017,ADAMS,CONEWAGO VALLEY SD,NEW OXFORD SHS,Biology,Historically Underperforming,11,100,24.0,37.0,21.0,18.0
112011603,000000017,ADAMS,CONEWAGO VALLEY SD,NEW OXFORD SHS,Literature,All Students,11,277,11.2,69.0,14.8,5.1
112011603,000000017,ADAMS,CONEWAGO VALLEY SD,NEW OXFORD SHS,Literature,Historically Underperforming,11,100,6.0,55.0,27.0,12.0
112013054,000006269,ADAMS,FAIRFIELD AREA SD,FAIRFIELD AREA HS,Algebra I,All Students,11,93,17.2,59.1,21.5,2.2
112013054,000006269,ADAMS,FAIRFIELD AREA SD,FAIRFIELD AREA HS,Algebra I,Historically Underperforming,11,19,5.3,63.2,26.3,5.3
112013054,000006269,ADAMS,FAIRFIELD AREA SD,FAIRFIELD AREA HS,Biology,All Students,11,93,25.8,43.0,24.7,6.5
112013054,000006269,ADAMS,FAIRFIELD AREA SD,FAIRFIELD AREA HS,Biology,Historically Underperforming,11,19,21.1,26.3,42.1,10.5
